S|305
S|242
L|139
L|140
L|396
L|138
L|26
L|393
L|399
L|261
L|400
L|263
L|264
L|258
L|260
L|288
L|5
L|265
L|259
L|262
L|397
L|395
L|309
L|394
1|374
1|368
1|369
1|366
1|118
1|367
1|372
1|373
1|370
1|371
1|49
1|54
1|55
1|51
1|243
1|241
1|240
1|239
1|238
1|237
1|236
1|235
1|375
1|50
1|53
1|242
1|52
3|414
3|415
3|416
3|118
3|383
3|119
3|120
3|244
3|243
3|238
3|235
3|88
3|89
3|93
3|123
3|413
3|121
3|117
3|92
3|284
3|85
3|86
3|122
3|411
3|90
3|382
3|124
3|94
3|64
3|87
3|169
3|412
3|242
3|91
2|414
2|415
2|416
2|118
2|417
2|337
2|119
2|212
2|213
2|120
2|210
2|244
2|418
2|243
2|238
2|235
2|340
2|88
2|89
2|56
2|93
2|338
2|214
2|123
2|413
2|121
2|117
2|57
2|92
2|339
2|85
2|58
2|86
2|122
2|334
2|411
2|90
2|215
2|124
2|94
2|342
2|419
2|211
2|87
2|60
2|412
2|341
2|61
2|343
2|335
2|63
2|242
2|209
2|91
2|336
2|62
5|175
5|252
5|417
5|337
5|418
5|177
5|339
5|334
5|305
5|342
5|419
5|180
5|343
5|335
5|336
4|179
4|173
4|174
4|175
4|252
4|417
4|251
4|256
4|255
4|253
4|137
4|308
4|307
4|306
4|304
4|181
4|176
4|177
4|178
4|310
4|129
4|311
4|59
4|136
4|313
4|127
4|305
4|128
4|180
4|303
4|254
4|312
4|309
4|131
6|179
6|173
6|174
6|175
6|308
6|307
6|98
6|306
6|304
6|181
6|176
6|177
6|178
6|310
6|311
6|97
6|59
6|431
6|313
6|427
6|105
6|104
6|107
6|103
6|305
6|101
6|180
6|106
6|430
6|102
6|433
6|429
6|312
6|432
6|309
6|426
6|100
6|428
