9910|gates avenue
8e7e|graham avenue
539f|grand army plaza
ecbb|grand avenue - newtown
87d2|grand central - 42nd street
87d2|42nd street
87d2|grand central
5397|grand street
7e59|grand street
2a59|grant avenue
b063|greenpoint avenue
091d|gun hill road
285e|gun hill road
5b18|halsey street
bba2|halsey street
34ed|harlem - 148 street
34ed|148th street
5ce2|hewes street
8e04|high street
0252|houston street
4c5f|howard beach - jfk airport
ec1f|hoyt - schermerhorn
e165|hoyt street
f29c|hunts point avenue
e96e|intervale avenue
5c68|inwood - 207 street
ec8c|jackson avenue
bfe1|jamaica - 179 street
55b7|jamaica - van wyck
b142|jamaica center - parsons/archer
b142|jamaica center
923c|jay street - metrotech
923c|jay street
8a7f|jefferson street
4bf3|kew gardens - union turnpike
078c|kings highway
13fd|kings highway
96bd|kings highway
5a85|kingsbridge road
8cb2|kingsbridge road
8f6d|kingston - throop avenues
077e|kingston avenue
6d12|kosciuszko street
2526|lafayette avenue
5f44|lexington avenue 59 street
5f44|59th street
ab3d|lexington avenue 63 street
ab3d|63rd street
0e83|liberty avenue
032e|livonia avenue / junius street
851d|longwood avenue
f25c|lorimer street
f093|marble hill - 225 street
f961|marcy avenue
1512|metropolitan avenue / lorimer street
1512|lorimer street
1512|metropolitan avenue
9d44|middle village - metropolitan avenue
d86e|middletown road
5194|montrose avenue
1e7f|morgan avenue
e8c0|morris park
00ac|morrison av- sound view
69cb|mosholu parkway
17d6|mt eden avenue
3e9b|myrtle - willoughby avenues
f145|myrtle - wyckoff avenues
8942|myrtle avenue
e3da|nassau avenue
4f3c|neck road
1f40|neptune avenue
274a|nereid avenue
289d|nevins street
d964|new lots avenue
dde6|new lots avenue
38db|newkirk avenue
7268|newkirk plaza
25fa|northern boulevard
168d|norwood - 205 street
1e5c|nostrand avenue
621b|nostrand avenue
0a02|ocean parkway
5b74|ozone park - lefferts boulevard
5b74|ozone park
74db|park place
996a|parkchester
78f3|parkside avenue
df86|parsons boulevard
b2f6|pelham bay park
b337|pelham parkway
eb16|pelham parkway
fe13|pennsylvania avenue
f340|president street
d008|prince street
7c33|prospect avenue
c0e1|prospect avenue
cf15|prospect park
ce5b|queens plaza
66ce|queensboro plaza
a3f2|ralph avenue
1a2a|rector street
e00d|rector street
973e|rockaway avenue
c24c|rockaway avenue
1322|rockaway boulevard
4edc|roosevelt island
03c6|saratoga avenue
56bd|seneca avenue
72e2|sheepshead bay
e960|shepherd avenue
63dc|simpson street
7fa0|smith - 9 sts
ecd5|south ferry loop / whitehall street
4c27|spring street
ebc5|spring street
d7a7|st lawrence avenue
b83f|steinway street
e4a6|sterling street
95cd|sutphin boulevard
eeb4|sutphin boulevard - archer avenue - jfk airport
eeb4|sutphin boulevard
ea88|sutter avenue
19f3|sutter avenue - rutland road
84ac|times square - 42 street
84ac|42nd street
84ac|times square
8714|tremont avenue
82bd|union square - 14 street
82bd|14th street
82bd|union square
1b5c|union street
145c|utica avenue
38b3|van cortlandt park - 242 street
ecf3|van siclen avenue
f718|van siclen avenue
757b|wakefield - 241 street
6da9|wall street
7eac|wall street
47ae|west 4th street
099d|west 8th street - ny aquarium
099d|west 8th street
ca46|west farms square - e tremont avenue
9cf8|westchester square - e tremont avenue
ca46|west farms square
9cf8|westchester square
f76a|whitlock avenue
0916|wilson avenue
cb70|winthrop street
62a4|woodhaven boulevard
816b|woodlawn
1941|world trade center
810b|york street
44c4|zerega avenue
